version,g:mapped,abs_r,r,rp,rpc,rp_c,rp_ce,rpe_c
o,31868834,31868502,31857922,31816491,31794913,21578,15495,6083
rv,31868834,31868218,31810884,31752247,31751475,772,651,121
s1,31868834,31868415,31857851,31815947,31795115,20832,14998,5834
s2,31868834,31868966,31857967,31815608,31794404,21204,15213,5991
s3,31868834,31868709,31857991,31818106,31797429,20677,14980,5697
