version,g:mapped,abs_r,r,rp,rpc,rp_c,rp_ce,rpe_c
o,38615673,38616816,38602511,38552014,38529668,22346,17926,4420
rv,38615673,38616212,38555433,38487509,38486659,850,628,222
s1,38615673,38615360,38601518,38550652,38527596,23056,18252,4804
s2,38615673,38616052,38601841,38551388,38528457,22931,18250,4681
s3,38615673,38615971,38601974,38551868,38528605,23263,18471,4792
