version,g:mapped,abs_r,r,rp,rpc,rp_c,rp_ce,rpe_c
o,33180662,33180662,33180662,33180662,33180662,0,0,0
rv,33180662,33181613,33040651,33038750,33036966,1784,1724,60
s1,33180662,33180662,33180662,33180662,33180662,0,0,0
s2,33180662,33180662,33180662,33180662,33180662,0,0,0
s3,33180662,33180662,33180662,33180662,33180662,0,0,0
