version,g:mapped,abs_r,r,rp,rpc,rp_c,rp_ce,rpe_c
o,27445841,27215965,27215965,27215965,27215965,0,0,0
rv,27445841,27216580,27096370,27094477,27092671,1806,1745,61
s1,27445841,27215965,27215965,27215965,27215965,0,0,0
s2,27445841,27215965,27215965,27215965,27215965,0,0,0
s3,27445841,27215965,27215965,27215965,27215965,0,0,0
