version,g:mapped,abs_r,r,rp,rpc,rp_c,rp_ce,rpe_c
o,16812057,16812057,16812057,16812057,16812057,0,0,0
rv,16812057,16820467,16744463,16743888,16743312,576,550,26
s1,16812057,16812057,16812057,16812057,16812057,0,0,0
s2,16812057,16812057,16812057,16812057,16812057,0,0,0
s3,16812057,16812057,16812057,16812057,16812057,0,0,0
