version,g:mapped,abs_r,r,rp,rpc,rp_c,rp_ce,rpe_c
o,18303378,18303617,18293048,18274384,18266226,8158,6729,1429
rv,18303378,18305893,18257687,18208736,18208198,538,439,99
s1,18303378,18303618,18293540,18275716,18267671,8045,6621,1424
s2,18303378,18303647,18293857,18275786,18267909,7877,6505,1372
s3,18303378,18303784,18293747,18275780,18268004,7776,6364,1412
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,18664,,,,,
